transaction_id,tenant_id,process_code,status,warehouse_code,transaction_date,remarks
TXN-0001,TENANT-001,PR,APPROVED,WH-COLLECT,2024-01-02,Standard operation completed.
TXN-0002,TENANT-001,SEG,APPROVED,WH-COLLECT,2024-01-03,Batch processed successfully.
TXN-0003,TENANT-001,MB,APPROVED,WH-COLLECT,2024-01-06,Process completed as per SOP.
TXN-0004,TENANT-001,WT,APPROVED,WH-COLLECT,2024-01-08,Batch processed successfully.
TXN-0005,TENANT-001,WTR,APPROVED,WH-WASH,2024-01-09,Standard operation completed.
TXN-0006,TENANT-001,MB,APPROVED,WH-WASH,2024-01-12,Process completed as per SOP.
TXN-0007,TENANT-001,QC,APPROVED,WH-WASH,2024-01-13,QC passed — purity within spec.
TXN-0008,TENANT-001,WT,APPROVED,WH-WASH,2024-01-16,Process completed as per SOP.
TXN-0009,TENANT-001,WTR,APPROVED,WH-RECY,2024-01-18,Batch processed successfully.
TXN-0010,TENANT-001,MB,APPROVED,WH-RECY,2024-01-19,No issues observed.
TXN-0011,TENANT-001,SD,APPROVED,WH-RECY,2024-01-22,No issues observed.
TXN-0012,TENANT-001,PR,APPROVED,WH-FACT,2024-01-23,Batch processed successfully.
TXN-0013,TENANT-001,MB,APPROVED,WH-FACT,2024-01-25,Finished product manufactured.
TXN-0014,TENANT-001,PR,APPROVED,WH-COLLECT,2024-01-26,Process completed as per SOP.
TXN-0015,TENANT-001,SEG,APPROVED,WH-COLLECT,2024-01-27,Material quality within acceptable range.
TXN-0016,TENANT-001,MB,APPROVED,WH-COLLECT,2024-01-28,
TXN-0017,TENANT-001,WT,APPROVED,WH-COLLECT,2024-02-01,No issues observed.
TXN-0018,TENANT-001,WTR,APPROVED,WH-WASH,2024-02-02,Batch processed successfully.
TXN-0019,TENANT-001,MB,APPROVED,WH-WASH,2024-02-05,No issues observed.
TXN-0020,TENANT-001,QC,APPROVED,WH-WASH,2024-02-06,QC passed — purity within spec.
TXN-0021,TENANT-001,WT,APPROVED,WH-WASH,2024-02-08,Material quality within acceptable range.
